[2026-05-12 11:49:46] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35310 | mensaje: client_id=send-1; group_id=1; seq=5; timestamp_ms=1778586586117; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:46] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35320 | mensaje: client_id=send-2; group_id=1; seq=5; timestamp_ms=1778586586147; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:46] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35324 | mensaje: client_id=send-3; group_id=1; seq=5; timestamp_ms=1778586586201; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:46] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35338 | mensaje: client_id=send-5; group_id=1; seq=5; timestamp_ms=1778586586205; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:46] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:35354 | mensaje: client_id=send-4; group_id=1; seq=5; timestamp_ms=1778586586208; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:47] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33182 | mensaje: client_id=send-1; group_id=1; seq=6; timestamp_ms=1778586587125; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:47] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33188 | mensaje: client_id=send-2; group_id=1; seq=6; timestamp_ms=1778586587161; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:47] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33190 | mensaje: client_id=send-3; group_id=1; seq=6; timestamp_ms=1778586587205; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:47] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33202 | mensaje: client_id=send-5; group_id=1; seq=6; timestamp_ms=1778586587219; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:47] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33204 | mensaje: client_id=send-4; group_id=1; seq=6; timestamp_ms=1778586587223; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:48] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33214 | mensaje: client_id=send-1; group_id=1; seq=7; timestamp_ms=1778586588136; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:48] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33216 | mensaje: client_id=send-2; group_id=1; seq=7; timestamp_ms=1778586588165; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:48] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33224 | mensaje: client_id=send-3; group_id=1; seq=7; timestamp_ms=1778586588211; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:48] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33236 | mensaje: client_id=send-5; group_id=1; seq=7; timestamp_ms=1778586588227; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:48] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33250 | mensaje: client_id=send-4; group_id=1; seq=7; timestamp_ms=1778586588238; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:49] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33258 | mensaje: client_id=send-1; group_id=1; seq=8; timestamp_ms=1778586589139; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:49] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33266 | mensaje: client_id=send-2; group_id=1; seq=8; timestamp_ms=1778586589183; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:49] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33270 | mensaje: client_id=send-3; group_id=1; seq=8; timestamp_ms=1778586589220; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:49] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33282 | mensaje: client_id=send-5; group_id=1; seq=8; timestamp_ms=1778586589230; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:49] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33286 | mensaje: client_id=send-4; group_id=1; seq=8; timestamp_ms=1778586589251; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:50] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33302 | mensaje: client_id=send-1; group_id=1; seq=9; timestamp_ms=1778586590143; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:50] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33304 | mensaje: client_id=send-2; group_id=1; seq=9; timestamp_ms=1778586590186; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:50] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33314 | mensaje: client_id=send-3; group_id=1; seq=9; timestamp_ms=1778586590228; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:50] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33328 | mensaje: client_id=send-5; group_id=1; seq=9; timestamp_ms=1778586590238; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:50] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33330 | mensaje: client_id=send-4; group_id=1; seq=9; timestamp_ms=1778586590264; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:51] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33342 | mensaje: client_id=send-1; group_id=1; seq=10; timestamp_ms=1778586591150; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:51] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33346 | mensaje: client_id=send-2; group_id=1; seq=10; timestamp_ms=1778586591200; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:51] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33348 | mensaje: client_id=send-3; group_id=1; seq=10; timestamp_ms=1778586591230; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:51] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33358 | mensaje: client_id=send-5; group_id=1; seq=10; timestamp_ms=1778586591251; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:51] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33370 | mensaje: client_id=send-4; group_id=1; seq=10; timestamp_ms=1778586591271; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:52] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33372 | mensaje: client_id=send-1; group_id=1; seq=11; timestamp_ms=1778586592162; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:52] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33376 | mensaje: client_id=send-2; group_id=1; seq=11; timestamp_ms=1778586592206; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:52] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33388 | mensaje: client_id=send-3; group_id=1; seq=11; timestamp_ms=1778586592243; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:52] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33396 | mensaje: client_id=send-5; group_id=1; seq=11; timestamp_ms=1778586592265; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:52] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33400 | mensaje: client_id=send-4; group_id=1; seq=11; timestamp_ms=1778586592279; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:53] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33408 | mensaje: client_id=send-1; group_id=1; seq=12; timestamp_ms=1778586593169; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:53] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33418 | mensaje: client_id=send-2; group_id=1; seq=12; timestamp_ms=1778586593214; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:53] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33432 | mensaje: client_id=send-3; group_id=1; seq=12; timestamp_ms=1778586593253; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:53] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33440 | mensaje: client_id=send-4; group_id=1; seq=12; timestamp_ms=1778586593283; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:53] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33454 | mensaje: client_id=send-5; group_id=1; seq=12; timestamp_ms=1778586593286; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:54] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33458 | mensaje: client_id=send-1; group_id=1; seq=13; timestamp_ms=1778586594188; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:54] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33470 | mensaje: client_id=send-2; group_id=1; seq=13; timestamp_ms=1778586594227; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:54] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33472 | mensaje: client_id=send-3; group_id=1; seq=13; timestamp_ms=1778586594266; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:54] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33478 | mensaje: client_id=send-5; group_id=1; seq=13; timestamp_ms=1778586594291; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:54] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33492 | mensaje: client_id=send-4; group_id=1; seq=13; timestamp_ms=1778586594293; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:55] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33500 | mensaje: client_id=send-1; group_id=1; seq=14; timestamp_ms=1778586595192; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:55] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33508 | mensaje: client_id=send-2; group_id=1; seq=14; timestamp_ms=1778586595247; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:55] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33512 | mensaje: client_id=send-3; group_id=1; seq=14; timestamp_ms=1778586595284; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:55] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33520 | mensaje: client_id=send-5; group_id=1; seq=14; timestamp_ms=1778586595311; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:55] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33522 | mensaje: client_id=send-4; group_id=1; seq=14; timestamp_ms=1778586595315; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:56] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33524 | mensaje: client_id=send-1; group_id=1; seq=15; timestamp_ms=1778586596213; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:56] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33538 | mensaje: client_id=send-2; group_id=1; seq=15; timestamp_ms=1778586596253; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:56] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33542 | mensaje: client_id=send-3; group_id=1; seq=15; timestamp_ms=1778586596291; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:56] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33554 | mensaje: client_id=send-5; group_id=1; seq=15; timestamp_ms=1778586596322; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:56] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:33570 | mensaje: client_id=send-4; group_id=1; seq=15; timestamp_ms=1778586596337; message=prueba 5 emisores grupo 1
[2026-05-12 11:49:57] Grupo 1 | origen [2001:720:1d10:fff0:0:1:0:2]:37548 | mensaje: client_id=send-1; group_id=1; seq=16; timestamp_ms=1778586597227; message=prueba 5 emisores grupo 1
